id;recommend;price;tu_device;status;follower_count;average_rating
1;false;11647.39;MICRO;OFFLINE;10636;16957.42
2;false;16121.23;CAMERA;NOT_TUTOR;10833;8940.45
3;false;5922.26;MICRO;NOT_TUTOR;26749;24973.45
4;false;3101.98;CAMERA;BUSY;2741;28266.46
5;false;8452.18;MICRO;OFFLINE;1663;14804.82
6;false;16544.17;CAMERA;BUSY;16933;9771.67
7;true;30936.05;MICRO;READY;7028;212.19
8;true;19117.84;MICRO;OFFLINE;6801;32668.28
9;true;10991.11;MICRO;NOT_TUTOR;12550;15838.76
10;true;16821.29;CAMERA;BUSY;7128;12777.48
