id;rating;school;student_id;major;graduation_year
1;29455;uselessly metallic;worse;spiteful meatball splurge;14424
2;29735;caddy;stable ew;excepting because fatherly;10276
3;3063;righteously;uniform diner if;grown focused;24109
4;32004;creolise;yellowish innocently gesture;finger gosh autosave;32376
5;9944;crane;vivaciously;correctly notwithstanding;13687
6;2062;knowledgeably;once madden;besides except tab;6481
7;2538;ban jubilantly synchronise;for gadzooks;logistics duh onto;31362
8;2061;unaware butter;cautiously outside;icy designation;28973
9;20639;clothe fell gosh;midst occasional ew;best;32757
10;5856;apropos but;times;dame raw;9541
